timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z
1738781065286,0.20135861784648532,-0.8987321490374723,0.3132324219,1738781065333,-4.656858684560875,-9.97699647436124,-3.2469513416
1738781065291,0.20176745381393887,-0.9080805220078594,0.3172607422,1738781065384,-5.310764318663313,-9.999423625914902,-3.1935975552
1738781065292,0.1979132871269595,-0.9101236034270138,0.3187255859,1738781065388,-5.243392095353787,-11.303264377340236,-4.0091462135
1738781065293,0.19357158284697865,-0.9094017217585988,0.31640625,1738781065391,-5.39469693763226,-13.473793848595669,-4.7027440071
1738781065294,0.19276549892344885,-0.9090480422769261,0.3156738281,1738781065392,-5.679336028956134,-15.59043837716014,-5.1753048897
1738781065295,0.19115303764234454,-0.9104479436879432,0.3146972656,1738781065394,-5.905285555054093,-17.952138486077526,-5.6783537865
1738781065296,0.18896128165993903,-0.9078595267507615,0.3140869141,1738781065419,-6.296407455201482,-20.60610835523413,-6.25
1738781065297,0.18826177118078533,-0.903892405687705,0.3170166016,1738781065421,-6.583821003764017,-23.628766548409192,-6.7682929039
1738781065298,0.1844497056300457,-0.9082831790369267,0.318359375,1738781065424,-6.883637298568144,-26.9322377175555,-7.5304880142
1738781065332,0.1801994648911093,-0.9108919128239058,0.3160400391,1738781065425,-7.2241027890826155,-30.444101295403918,-8.4908542633
1738781065382,0.17114902793267853,-0.9045547286415209,0.3162841797,1738781065427,-7.403856678607722,-33.98954376380952,-9.6493902206
1738781065386,0.16581684509458863,-0.9073542380121453,0.3159179688,1738781065428,-7.788886631240664,-37.292561713731736,-10.7012195587
1738781065389,0.15927582988053646,-0.9075159679249376,0.3145751953,1738781065468,-8.392049771571784,-40.71917520467217,-12.0579271317
1738781065391,0.15702077557522973,-0.9024596432624713,0.3159179688,1738781065515,-9.094967192724317,-43.931190025187355,-13.5060977936
1738781065393,0.15133520680535767,-0.9039579762633795,0.3134765625,1738781065517,-9.985502658132692,-46.913145428293866,-14.9314031601
