timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z
1735640210463,-0.0490722656,-0.3682861328,0.8820800781,1735640210506,-0.6402438879,-0.0609756112,0.3429878056
1735640210463,-0.052734375,-0.3724365234,0.8898925781,1735640210507,-0.4344512224,0.076219514,0.838414669
1735640210464,-0.0556640625,-0.3746337891,0.8912353516,1735640210508,-0.5411585569,-0.1829268336,0.8689024448
1735640210464,-0.0626220703,-0.3773193359,0.8885498047,1735640210509,-0.6783536673,-0.2667683065,0.8079268336
1735640210465,-0.0618896484,-0.3753662109,0.8878173828,1735640210549,-0.6402438879,-0.2667683065,0.7469512224
1735640210503,-0.0576171875,-0.3740234375,0.8883056641,1735640210552,-0.6631097794,0.0685975626,0.8307927251
1735640210507,-0.0560302734,-0.37109375,0.8842773438,1735640210553,-0.7774390578,0.1219512224,0.8612805009
1735640210508,-0.0562744141,-0.3702392578,0.88671875,1735640210597,-0.8993902802,0.2591463327,0.9375
1735640210509,-0.0524902344,-0.3681640625,0.8891601563,1735640210598,-0.9070122242,0.5411585569,0.9908536673
1735640210548,-0.0517578125,-0.3686523438,0.8862304688,1735640210601,-1.1051830053,0.7774390578,0.8841463327
1735640210551,-0.0512695313,-0.3666992188,0.8903808594,1735640210602,-1.2271342278,0.8993902802,1.0289634466
1735640210552,-0.0491943359,-0.3665771484,0.8941650391,1735640210641,-1.4557926655,0.9146341681,0.9756097794
1735640210558,-0.0474853516,-0.3685302734,0.8948974609,1735640210643,-1.7682926655,0.7621951103,0.6935975552
1735640210598,-0.0512695313,-0.3657226563,0.8928222656,1735640210643,-2.0045731068,0.6935975552,0.6631097794
1735640210598,-0.0537109375,-0.3631591797,0.8922119141,1735640210644,-2.3170731068,0.5564024448,0.6631097794
1735640210602,-0.0554199219,-0.3649902344,0.8940429688,1735640210649,-2.4695122242,0.3506097496,0.5411585569
1735640210608,-0.0577392578,-0.3657226563,0.8929443359,1735640210651,-2.5457317829,0.0990853682,0.4878048897
1735640210642,-0.0588378906,-0.3673095703,0.8920898438,1735640210652,-2.6448171139,0.0990853682,0.5564024448
1735640210643,-0.0626220703,-0.3664550781,0.8929443359,1735640210698,-2.8429877758,0.2134146392,0.464939028
