timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z,label,timestamp_acc_fft_mean,timestamp_acc_fft_max,timestamp_acc_fft_std,acc_x_fft_mean,acc_x_fft_max,acc_x_fft_std,acc_y_fft_mean,acc_y_fft_max,acc_y_fft_std,acc_z_fft_mean,acc_z_fft_max,acc_z_fft_std,timestamp_gyro_fft_mean,timestamp_gyro_fft_max,timestamp_gyro_fft_std,gyro_x_fft_mean,gyro_x_fft_max,gyro_x_fft_std,gyro_y_fft_mean,gyro_y_fft_max,gyro_y_fft_std,gyro_z_fft_mean,gyro_z_fft_max,gyro_z_fft_std
1725605866305.0,0.006348,-0.939697,0.349731,1725605866315.0,-4.96189,-2.705793,-2.126524,1,3451211733723.9316,86280293327203.0,16907415480614.824,0.04879201496946288,0.778443,0.1514718797754214,1.879852261426926,46.264162,9.059984163946327,0.7485658738389074,18.072512,3.536478781241787,3451211733749.2236,86280293327854.0,16907415480742.547,9.246705597798035,157.263721,30.74554971957506,4.6182877404515645,48.317822828298965,9.611915036301452,3.4261810261044268,27.522866,5.507864462297199
1725605866802.0,0.007568,-0.94397,0.246826,1725605866810.0,-29.230185,-7.248476,-5.106708,1,3451211734740.9976,86280293352335.0,16907415485537.268,0.06692890495767861,0.906494,0.17323957180726932,1.897185619518757,46.479619,9.100483146540597,0.766846528570025,15.80359,3.073223017098203,3451211734762.368,86280293352918.0,16907415485651.908,60.07611370211849,721.5777600000001,139.1627013202526,14.358575268696068,139.33688999999998,27.094796656157346,11.43451846584598,122.370431,23.898004440897925
1725605867299.0,0.034668,-1.017822,-0.040771,1725605867304.0,-36.722561,-10.228659,-8.506098,1,3451211735788.84,86280293378239.0,16907415490611.008,0.25617799988597373,3.813109,0.7407528127170507,2.07188438189322,49.491942,9.680515844966688,0.5695178384807978,4.798584,0.9874317422289399,3451211735811.699,86280293378954.0,16907415490752.291,74.8059093918315,1582.637229,308.79493011020105,20.293033826979173,409.992391,79.9688650088677,15.195438500093324,311.516777,60.93318871941424
1725605867801.0,0.106689,-1.011841,-0.307007,1725605867836.0,-39.451221,-8.422256,-9.496951,1,3451211736755.14,86280293402840.0,16907415495435.422,0.34176682637430084,6.554812,1.2735968493668781,2.0488823097605593,48.9646,9.57713111465862,0.6875715006658131,8.318362,1.6285149419477374,3451211736779.554,86280293403446.0,16907415495554.139,75.02890861724825,1519.657049,296.6405229357963,15.512173802812447,281.074703,54.63938736604637,17.51446310436566,301.562504,59.005477460367345
1725605868329.0,0.124146,-0.983643,-0.52771,1725605868334.0,-31.996952,-12.019817,-6.875,1,3451211738262.3486,86280293432365.0,16907415501154.53,0.407023123079116,8.357419,1.6280514079853137,1.9707256551575287,46.170286,9.02357611335428,1.1309287235713976,21.082762000000002,4.093373534203197,3451211738355.6704,86280293433566.0,16907415501380.633,76.71808110982954,1162.0960639999998,225.92364426742037,20.088677481585712,205.53354000000002,48.72188607504989,15.386380343173107,197.92683799999998,39.22545659768366
1725605869017.0,0.131592,-0.958618,-0.574219,1725605869057.0,-8.506098,-3.231707,-0.335366,1,3451211739364.792,86280293465531.0,16907415507699.475,0.3854598847736447,8.264892,1.6097244493968177,1.8892074628838877,44.206174,8.63870594719437,1.1695093468900017,26.526,5.179542901201313,3451211739543.6113,86280293468432.0,16907415508255.139,74.16224219142529,475.899398,116.82102536452612,7.997971563680243,62.065548,14.253847892006732,13.740290643110741,143.109759,30.309627049814413
1725605869589.0,0.090942,-0.998535,-0.462891,1725605869682.0,19.100611,-3.460366,2.934451,1,3451211740298.6875,86280293491566.0,16907415512823.215,0.3255153841449419,6.057981,1.175817148000781,1.9917761108891572,47.330324000000005,9.25585218936953,0.9489408791220627,15.943971999999999,3.084810253402437,3451211740392.2983,86280293494599.0,16907415513423.217,70.37287894069301,1335.838445,261.8458091673564,4.558345228200103,50.146148984196074,10.546161048656774,18.623212641821816,308.17073800000003,61.35040419916556
1725605870086.0,0.066895,-1.03479,-0.218262,1725605870140.0,25.007622,-1.859756,2.240854,1,3451211741319.382,86280293516701.0,16907415517745.53,0.1961007385372986,4.106808,0.7991454668645039,2.0557511859533726,50.26342700000001,9.84065555281734,0.5494479416145763,4.846921999999999,0.9925327774492411,3451211741455.1626,86280293519815.0,16907415518353.459,86.90562661662848,1708.6357090000001,331.54821081059845,3.7387281280236335,21.741999883384917,4.9690248040825535,9.339430353021587,169.885676,33.05486072110189
1725605870587.0,0.027588,-1.020264,0.056152,1725605870758.0,18.955793,-3.51372,4.016768,1,3451211742370.9746,86280293543189.0,16907415522937.715,0.162325635187275,2.559573,0.4943277489698993,2.0951536818794367,47.421385,9.255013167220957,0.9183698805746304,11.98254,2.3298591169891236,3451211742446.888,86280293547194.0,16907415523739.734,93.63074662227147,1638.650951,319.52320078013787,11.263388373527377,75.01507461054648,15.382790137700363,17.171714318019255,312.53810999999996,60.93246574993679
1725605871118.0,-0.031372,-0.947021,0.381592,1725605871174.0,1.227134,-0.670732,0.884146,1,3451211743363.433,86280293567911.0,16907415527781.484,0.10185094188898743,0.5231190984908382,0.13332457092001498,1.8479967618030935,43.532593999999996,8.510320579689623,1.056055510227685,22.678348,4.4180432914775,3451211743526.207,86280293572053.0,16907415528593.742,50.041384705716325,537.179889,105.85967710114663,13.126139236502823,141.45579600000002,28.23472163032046,15.16607594380552,176.013725,35.3525887099588
